Beverage,Calories,Cholesterol,Carbohydrates, Sugars, Protein,Caffeine
Brewed Coffee,3,0,5,0,0.3,175
Brewed Coffee,4,0,10,0,0.5,260
Brewed Coffee,5,0,10,0,1,330
Brewed Coffee,5,0,10,0,1,410
Caffè Latte,70,10,75,9,6,75
Caffè Latte,100,10,85,9,6,75
Caffè Latte,70,6,65,4,5,75
Caffè Latte,100,15,120,14,10,75
Caffè Latte,150,15,135,14,10,75
Caffè Latte,110,10,105,6,8,75
Caffè Latte,130,19,150,18,13,150
Caffè Latte,190,19,170,17,12,150
Caffè Latte,150,13,130,8,10,150
Caffè Latte,170,25,190,23,16,150
Caffè Latte,240,24,220,22,16,150
Caffè Latte,190,16,170,11,13,150
Caffè Mocha (Without Whipped Cream),110,21,60,17,7,85
Caffè Mocha (Without Whipped Cream),130,21,70,17,6,85
Caffè Mocha (Without Whipped Cream),110,19,55,13,6,85
Caffè Mocha (Without Whipped Cream),170,32,100,27,10,95
Caffè Mocha (Without Whipped Cream),200,32,115,26,10,95
Caffè Mocha (Without Whipped Cream),180,28,85,20,9,95
Caffè Mocha (Without Whipped Cream),220,43,125,34,13,175
Caffè Mocha (Without Whipped Cream),260,42,140,34,13,175
Caffè Mocha (Without Whipped Cream),230,37,105,26,11,175
Caffè Mocha (Without Whipped Cream),280,54,160,44,17,180
Caffè Mocha (Without Whipped Cream),340,53,180,43,17,180
Caffè Mocha (Without Whipped Cream),290,47,140,33,14,180
Vanilla Latte (Or Other Flavoured Latte),100,19,70,18,6,75
Vanilla Latte (Or Other Flavoured Latte),130,18,80,17,6,75
Vanilla Latte (Or Other Flavoured Latte),110,16,60,13,5,75
Vanilla Latte (Or Other Flavoured Latte),150,28,110,27,9,75
Vanilla Latte (Or Other Flavoured Latte),200,28,125,27,9,75
Vanilla Latte (Or Other Flavoured Latte),160,23,95,20,7,75
Vanilla Latte (Or Other Flavoured Latte),200,37,140,35,12,150
Vanilla Latte (Or Other Flavoured Latte),250,37,150,35,12,150
Vanilla Latte (Or Other Flavoured Latte),210,31,120,26,9,150
Vanilla Latte (Or Other Flavoured Latte),250,47,180,45,15,150
Vanilla Latte (Or Other Flavoured Latte),320,46,200,44,15,150
Vanilla Latte (Or Other Flavoured Latte),270,39,160,33,12,150
Caffè Americano,5,1,5,0,0.4,75
Caffè Americano,10,2,10,0,1,150
Caffè Americano,15,3,15,0,1,225
Caffè Americano,25,4,15,0,1,300
Cappuccino,50,8,60,7,5,75
Cappuccino,80,8,70,7,5,75
Cappuccino,50,4,40,3,3,75
Cappuccino,60,9,70,8,6,75
Cappuccino,90,9,80,8,6,75
Cappuccino,70,7,65,4,5,75
Cappuccino,80,12,90,10,8,150
Cappuccino,120,12,100,10,8,150
Cappuccino,100,9,80,5,7,150
Cappuccino,110,16,120,14,10,150
Cappuccino,150,16,135,14,10,150
Cappuccino,120,11,110,7,9,150
Espresso,5,1,0,0,0.4,75
Espresso,10,2,1,0,1,150
Skinny Latte (Any Flavour),60,9,80,8,6,75
Skinny Latte (Any Flavour),100,14,125,13,9,75
Skinny Latte (Any Flavour),120,18,160,16,12,150
Skinny Latte (Any Flavour),160,24,200,21,15,150
Caramel Macchiato,100,17,70,15,6,75
Caramel Macchiato,120,16,80,15,5,75
Caramel Macchiato,100,14,60,11,4,75
Caramel Macchiato,140,25,105,24,8,75
Caramel Macchiato,180,25,115,23,8,75
Caramel Macchiato,150,21,90,17,7,75
Caramel Macchiato,190,35,130,32,11,150
Caramel Macchiato,240,34,150,32,10,150
Caramel Macchiato,200,29,115,24,9,150
Caramel Macchiato,240,43,170,41,13,150
Caramel Macchiato,300,43,180,40,13,150
Caramel Macchiato,250,36,140,31,11,150
